"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","","","E92000001","England","England","Persons","4-5 yrs","","","2022/23 - 24/25","22.27767","22.21471","22.34076","22.17846","22.3772","<div class=""no-data"">-</div>","1674376","","Cannot be calculated","","","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E92000001","England","E10000015","Hertfordshire","Upper tier local authorities (4/21-3/23)","Persons","4-5 yrs","","","2022/23 - 24/25","19.3323","18.94368","19.73119","18.72116","19.96277","<div class=""no-data"">-</div>","38640","","Cannot be calculated","Better","","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004862","Grovehill","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","28.3019","23.6612","34.523","21.0363","38.0204","<div class=""no-data"">-</div>","265","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004850","Cheshunt Coopers Walk","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","27.451","21.7906","32.656","19.2219","36.2151","<div class=""no-data"">-</div>","255","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004860","Woodhall Farm","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25.9259","20.2263","30.47","17.8283","33.8676","<div class=""no-data"">-</div>","270","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004949","Pin Green","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25.8621","21.4043","31.4517","19.0089","34.7425","<div class=""no-data"">-</div>","290","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004983","Haldens","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25.5319","19.5195","30.4474","17.0171","34.1129","<div class=""no-data"">-</div>","235","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004986","Peartree","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25","21.1257","30.0927","18.9556","33.0183","<div class=""no-data"">-</div>","360","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004845","Hoddesdon Town","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25","20.7952","30.9263","18.4012","34.2655","<div class=""no-data"">-</div>","280","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004854","Cheshunt South","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25","19.7053","29.7363","17.3646","33.0772","<div class=""no-data"">-</div>","280","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004903","Bushey North","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","25","20.6184","31.5956","18.0674","35.2353","<div class=""no-data"">-</div>","240","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004950","Chells South","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","24.4898","18.6266","29.1492","16.2314","32.7063","<div class=""no-data"">-</div>","245","","Cannot be calculated","Similar","Similar","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004898","Potters Bar Oakmere","Middle Super Output Area","Persons","4-5 yrs","","","2022/23 - 24/25","24.4444","18.6541","29.768","16.1514","33.5367","<div class=""no-data"">-</div>","225","","Cannot be calculated","Similar","Similar","20220000","","","3y"
