"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","","","E92000001","England","England","Persons","10-11 yrs","","","2022/23 - 24/25","36.19411","36.12432","36.26395","36.08411","36.30425","<div class=""no-data"">-</div>","1820266","","Cannot be calculated","","","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E92000001","England","E10000015","Hertfordshire","Upper tier local authorities (4/21-3/23)","Persons","10-11 yrs","","","2022/23 - 24/25","30.84253","30.39188","31.29842","30.13327","31.5625","<div class=""no-data"">-</div>","39880","","Cannot be calculated","Better","","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004854","Cheshunt South","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","45.6522","38.1461","50.8296","34.7366","54.4996","<div class=""no-data"">-</div>","230","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004977","West Watford","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","45.4546","40.66","50.5735","37.9216","53.4391","<div class=""no-data"">-</div>","385","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004855","Waltham Cross Town","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","44.2623","38.343","49.3926","35.3459","52.6116","<div class=""no-data"">-</div>","305","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004954","Roebuck","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","44.1861","37.2582","50.4041","33.755","54.2209","<div class=""no-data"">-</div>","215","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004964","Mill End, Heronsgate & Maple Cross","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","43.9024","36.9047","50.2895","33.3518","54.18","<div class=""no-data"">-</div>","205","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004951","Bedwell","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","43.3333","38.3605","49.5021","35.3394","52.7463","<div class=""no-data"">-</div>","300","","Cannot be calculated","Worse","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004871","Chaulden","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","43.2432","35.3923","49.4118","31.7284","53.517","<div class=""no-data"">-</div>","185","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93108","Year 6 prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E02004852","Cheshunt Central","Middle Super Output Area","Persons","10-11 yrs","","","2022/23 - 24/25","42.8571","37.3351","48.8763","34.2324","52.2517","<div class=""no-data"">-</div>","280","","Cannot be calculated","Worse","Worse","20220000","","","3y"
